"Code","wens","we","ns "
"F02a",0.195,0.195,0.194
"F02b",0.251,0.25,0.252
"F02e",0.196,0.196,0.197
"F03e",0.207,0.207,0.208
"F04a",0.196,0.195,0.196
"F04b",0.249,0.249,0.249
"F04e",0.196,0.196,0.196
"F07a",0.197,0.198,0.196
"F07b",0.242,0.243,0.242
"F08a",0.195,0.195,0.194
"F08b",0.24,0.24,0.239
"F08e",0.252,0.251,0.252
"F09a",0.247,0.247,0.247
"F09b",0.239,0.239,0.239
"F09e",0.251,0.251,0.25
"F10a",0.245,0.245,0.245
"F10b",0.246,0.245,0.246
"F10e",0.239,0.238,0.24
"L02a",0.261,0.261,0.261
"L03a",0.261,0.26,0.261
"L03b",0.259,0.259,0.259
"L03e",0.238,0.238,0.237
"L04a",0.259,0.259,0.259
"L04b",0.259,0.259,0.259
"L04e",0.253,0.258,0.249
"L07a",0.256,0.257,0.256
"L07b",0.256,0.257,0.255
"L07e",0.238,0.238,0.239
"L08a",0.259,0.26,0.259
"L08b",0.259,0.259,0.258
"L08e",0.261,0.261,0.262
"L09a",0.257,0.258,0.257
"L09b",0.26,0.26,0.26
"L09e",0.26,0.26,0.26
"L11b",0.257,0.258,0.257
"F02c",,,0.163067430586161
"F02d",,,0.168162494095418
"F03c",,,0.151859956236324
"F03d",,,0.157283288650581
"F04c",,,0.437965260545906
"F04d",,,0.411552346570397
"F07c",,,0.395480225988701
"F07d",,,0.395216400911162
"F08c",,,0.155073105892778
"F08d",,,0.163555992141454
"F09c",,,0.172067549064354
"F09d",,,0.168634860651866
"L02c",,,0.453400503778338
"L02d",,,0.432234432234432
"L03c",,,0.182395644283122
"L03d",,,0.168122270742358
"L04c",,,0.164389233954451
"L04d",,,0.171122994652406
"L07c",,,0.18042399639152
"L07d",,,0.168248490077653
"L08c",,,0.151107594936709
"L08d",,,0.148648648648649
"L09c",,,0.399515738498789
"L09d",,,0.378220140515223
